Order ID,Order Date,Month,Customer ID,Product ID,Quantity,Unit Price,Total Sales,Cost Price,Profit,Payment Mode,Discount(%),Net Sales,Salesperson,Branch
O001,01-01-2026,January,C001,P001,1,"? 57,000.00","? 57,000.00","? 42,750.00","? 14,250.00",UPI,10%,"? 51,300.00",Arjun,Chennai
O002,01-02-2026,January,C002,P004,1,"? 85,000.00","? 85,000.00","? 63,750.00","? 21,250.00",Credit Card,5%,"? 80,750.00",Priya,Bengaluru
O003,01-02-2026,January,C003,P007,2,"? 8,000.00","? 16,000.00","? 12,000.00","? 4,000.00",Cash,0%,"? 16,000.00",Karthik,Hyderabad
O004,01-03-2026,January,C004,P009,1,"? 15,000.00","? 15,000.00","? 11,250.00","? 3,750.00",Debit Card,15%,"? 12,750.00",Meena,Coimbatore
O005,01-03-2026,January,C005,P003,1,"? 70,000.00","? 70,000.00","? 52,500.00","? 17,500.00",UPI,10%,"? 63,000.00",Rahul,Kochi
O006,01-04-2026,January,C006,P008,3,"? 2,500.00","? 7,500.00","? 5,625.00","? 1,875.00",Cash,20%,"? 6,000.00",Arjun,Chennai
O007,01-05-2026,January,C007,P006,1,"? 32,000.00","? 32,000.00","? 24,000.00","? 8,000.00",Credit Card,5%,"? 30,400.00",Priya,Bengaluru
O008,01-05-2026,January,C008,P010,1,"? 12,000.00","? 12,000.00","? 9,000.00","? 3,000.00",UPI,0%,"? 12,000.00",Karthik,Hyderabad
O009,01-06-2026,January,C009,P002,1,"? 62,000.00","? 62,000.00","? 46,500.00","? 15,500.00",Debit Card,10%,"? 55,800.00",Meena,Coimbatore
O010,01-06-2026,January,C010,P005,2,"? 22,000.00","? 44,000.00","? 33,000.00","? 11,000.00",UPI,15%,"? 37,400.00",Rahul,Kochi
O011,02-07-2026,February,C011,P003,2,"? 70,000.00","? 140,000.00","? 105,000.00","? 35,000.00",UPI,5%,"? 133,000.00",Arjun,Chennai
